last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_double,b_triple,b_home_run,batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Sanchez, Gary,2019,27,396,92,45,12,1,34,.232,.245,.550,.346,.362,.329,.304,91,18.9,19.1,
Cuthbert, Cheslor,2019,27,309,76,53,14,0,9,.246,.250,.382,.287,.292,.298,.129,88.8,14.7,4.5,
Kepler, Max,2019,26,524,132,64,32,0,36,.252,.261,.456,.355,.340,.344,.194,89.7,18,8.9,
Quinn, Roman,2019,26,108,23,15,3,1,4,.213,.231,.353,.287,.294,.313,.116,88.9,11,5.3,
Franco, Maikel,2019,27,389,91,57,17,0,17,.234,.242,.416,.281,.291,.307,.171,89,14.8,6.9,
Garcia, Robel,2019,26,72,15,6,2,2,5,.208,.184,.411,.316,.282,.258,.227,89.8,22.6,15.8,
Choi, Ji-Man,2019,28,410,107,66,20,2,19,.261,.261,.494,.348,.365,.367,.229,91.2,12.4,11.3,
Bradley Jr., Jackie,2019,29,494,111,59,28,3,21,.225,.238,.431,.314,.324,.330,.190,90.2,9,9.9,
La Stella, Tommy,2019,30,292,86,62,8,0,16,.295,.292,.479,.351,.348,.344,.183,88.2,12.9,5.3,
Severino, Pedro,2019,26,305,76,50,13,0,13,.249,.266,.442,.316,.334,.337,.173,87.6,12.9,8.5,
Nunez, Renato,2019,25,541,132,77,24,0,31,.244,.250,.468,.323,.330,.317,.216,89.9,19.8,10.7,
Arteaga, Humberto,2019,25,122,24,20,4,0,0,.197,.223,.285,.221,.251,.281,.061,84.5,8.5,0.0,
Candelario, Jeimer,2019,26,335,68,41,17,2,8,.203,.225,.359,.283,.298,.325,.134,88.2,15.2,5.9,
Daza, Yonathan,2019,25,97,20,18,1,1,0,.206,.206,.260,.221,.229,.257,.051,84.5,4.5,1.3,
Rondon, Jose,2019,25,143,28,22,3,0,3,.196,.218,.317,.241,.264,.283,.096,87.3,8.1,2.8,
Ahmed, Nick,2019,29,556,141,83,33,6,19,.254,.255,.421,.315,.317,.321,.163,87.8,7.5,6.6,
Anderson, Brian,2019,26,459,120,66,33,1,20,.261,.256,.456,.342,.339,.340,.196,89.9,10.9,8.9,
Barnes, Austin,2019,30,212,43,25,12,1,5,.203,.191,.300,.272,.256,.283,.107,87.2,16,4.4,
Bell, Josh,2019,27,527,146,69,37,3,37,.277,.284,.557,.379,.382,.374,.271,92.3,12.7,12.7,
Betts, Mookie,2019,27,597,176,102,40,5,29,.295,.308,.570,.380,.406,.405,.260,91,18.8,10.3,
Caratini, Victor,2019,26,244,65,43,11,0,11,.266,.253,.428,.338,.332,.341,.173,89.6,6.1,9.0,
Cron, Kevin,2019,26,71,15,5,4,0,6,.211,.230,.519,.321,.344,.296,.287,89.9,13.8,22.7,
Davies, Zach,2019,26,52,8,6,2,0,0,.154,.162,.196,.157,.160,.178,.033,82.6,11.8,0.0,
Davis, J.D.,2019,26,410,126,81,22,1,22,.307,.305,.545,.374,.380,.367,.238,91.5,10,11.4,
Fisher, Derek,2019,26,146,27,15,4,1,7,.185,.212,.365,.283,.293,.311,.152,92.2,9,12.4,
Gore, Terrance,2019,28,51,14,11,2,1,0,.275,.271,.300,.317,.304,.359,.025,83.5,6.5,0.0,
Martini, Nick,2019,29,93,21,15,4,1,1,.226,.241,.304,.291,.294,.344,.062,87.7,4.8,1.5,
Musgrove, Joe,2019,27,51,8,5,2,1,0,.157,.193,.318,.183,.227,.223,.123,86.8,11.3,5.0,
Nola, Aaron,2019,26,59,7,5,2,0,0,.119,.108,.129,.168,.153,.191,.020,86.7,1.3,0.0,
Panik, Joe,2019,29,438,107,79,21,2,5,.244,.252,.373,.284,.304,.324,.118,86.8,12.4,2.0,
