"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2338",642715,"Willy Adames","2338","100.0","0.254","0.164","0.320","0.418","0.316","0.315","0.249","135","531","87.8","10.0","2254","88.3","87.75","298","1095","1236","-0.5","5.97","106","152","114","146","303","323","286"
"468",605361,"Nick Martini","468","100.0","0.226","0.097","0.299","0.323","0.294","0.296","0.243","21","93","87.7","5.4","2247","89.2","89.08","38","190","277","-0.1","6.09","115","149","111","152","295","321","303"
"1389",592743,"Andrelton Simmons","1389","100.0","0.264","0.101","0.277","0.364","0.293","0.265","0.238","105","398","87.7","9.4","2296","87.9","87.38","93","663","720","-0.5","5.91","106","151","114","145","302","319","291"
"2843",542340,"Jonathan Villar","2843","100.0","0.274","0.179","0.341","0.453","0.339","0.313","0.249","176","642","87.7","7.0","2206","89.0","88.67","386","1398","1423","-0.3","6.02","108","148","104","148","292","320","297"
"627",622569,"Pablo Reyes","627","100.0","0.203","0.119","0.257","0.322","0.262","0.244","0.192","29","143","87.7","11.8","2303","88.4","88.15","64","281","344","-0.3","6.02","106","149","109","144","302","316","284"
"820",656371,"Isan Diaz","820","100.0","0.173","0.134","0.224","0.307","0.251","0.258","0.183","31","179","87.7","17.3","2225","88.4","88.04","87","309","508","-0.4","6.01","115","150","106","150","296","317","301"
"1896",543257,"Robbie Grossman","1896","100.0","0.240","0.107","0.288","0.348","0.301","0.324","0.265","101","420","87.7","12.1","2231","88.6","88.23","112","724","1167","-0.4","5.98","113","149","111","150","289","319","298"
"1419",543228,"Yan Gomes","1419","100.0","0.223","0.166","0.265","0.389","0.301","0.304","0.221","70","314","87.6","17.9","2259","89.2","88.90","180","704","708","-0.3","6.02","107","152","117","146","304","322","296"
"755",663757,"Trent Grisham","755","100.0","0.231","0.179","0.286","0.410","0.319","0.304","0.228","36","156","87.6","16.0","2275","89.1","89.00","66","289","460","-0.1","6.11","113","148","108","151","295","322","303"
"662",643418,"Shed Long","662","100.0","0.263","0.191","0.327","0.454","0.337","0.271","0.215","40","152","87.6","10.6","2264","88.5","87.86","81","299","362","-0.6","5.87","114","147","106","150","282","310","295"
"1370",553869,"Elias Diaz","1370","100.0","0.241","0.066","0.286","0.307","0.267","0.281","0.245","73","303","87.6","9.0","2262","88.5","88.29","152","651","715","-0.2","6.01","109","151","116","147","306","319","289"
"2100",606115,"Orlando Arcia","2100","100.0","0.223","0.128","0.253","0.350","0.272","0.284","0.232","110","494","87.5","6.3","2286","88.6","88.33","246","998","1096","-0.3","6.07","107","149","110","147","304","320","291"
"1626",669222,"Nick Senzel","1626","100.0","0.256","0.171","0.319","0.427","0.318","0.303","0.243","96","375","87.5","11.0","2263","88.4","88.11","190","800","822","-0.3","5.96","109","150","109","146","301","320","288"
"2357",605113,"Nick Ahmed","2357","100.0","0.254","0.183","0.280","0.437","0.318","0.318","0.257","141","556","87.5","7.5","2308","89.1","88.69","248","1162","1185","-0.4","5.99","108","151","110","146","306","325","293"
"1681",570731,"Jonathan Schoop","1681","100.0","0.256","0.217","0.298","0.473","0.329","0.312","0.252","111","433","87.5","12.5","2285","88.6","88.35","319","979","690","-0.2","6.03","106","151","119","146","300","324","292"
"1162",664238,"Dylan Moore","1162","100.0","0.206","0.182","0.290","0.389","0.302","0.278","0.193","51","247","87.5","18.5","2316","88.4","87.93","145","512","637","-0.5","5.94","107","151","113","147","298","313","283"
"1221",571788,"Brock Holt","1221","100.0","0.297","0.104","0.365","0.402","0.335","0.317","0.271","77","259","87.5","11.0","2217","88.7","88.43","96","513","703","-0.3","6.03","112","148","108","150","278","317","302"
"1352",542921,"Tim Beckham","1352","100.0","0.237","0.224","0.305","0.461","0.319","0.303","0.228","72","304","87.5","10.8","2266","88.1","87.63","191","624","723","-0.5","5.91","107","151","115","147","299","318","289"
"817",588751,"Adeiny Hechavarria","817","100.0","0.241","0.202","0.272","0.443","0.316","0.302","0.237","49","203","87.5","11.4","2311","88.6","88.21","106","437","376","-0.4","5.97","108","151","110","147","304","319","285"
"818",518614,"Daniel Descalso","818","100.0","0.173","0.077","0.245","0.250","0.239","0.265","0.194","29","168","87.5","10.5","2248","88.1","87.63","95","328","488","-0.5","5.93","116","156","116","151","289","321","298"
"2179",543063,"Brandon Crawford","2179","100.0","0.228","0.122","0.274","0.350","0.283","0.306","0.241","114","500","87.5","8.4","2209","88.8","88.40","316","1117","1058","-0.4","5.91","115","153","111","151","294","323","306"
"1755",641343,"Jake Bauers","1755","100.0","0.226","0.145","0.290","0.371","0.299","0.290","0.224","84","372","87.5","14.6","2232","88.2","87.99","179","735","1013","-0.2","6.02","115","149","115","149","288","322","302"
"1617",425877,"Yadier Molina","1617","100.0","0.270","0.129","0.289","0.399","0.306","0.325","0.275","113","419","87.4","13.8","2242","88.5","88.33","171","900","709","-0.2","6.09","109","152","119","149","306","324","296"
"1427",455117,"Martin Maldonado","1427","100.0","0.213","0.165","0.250","0.378","0.291","0.302","0.222","71","333","87.4","11.7","2242","88.2","87.77","159","646","769","-0.4","5.98","106","152","117","147","299","321","290"
"1249",543308,"John Hicks","1249","100.0","0.210","0.169","0.273","0.379","0.263","0.247","0.201","67","319","87.4","15.9","2273","88.4","88.00","275","771","474","-0.4","5.98","108","151","117","146","299","322","286"
"1025",621563,"Joey Wendle","1025","100.0","0.231","0.109","0.272","0.340","0.277","0.285","0.254","55","238","87.4","11.6","2223","88.7","88.22","97","479","534","-0.5","6.03","113","149","106","150","286","320","301"
